,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,Sampa,ipa
8286,2,sĭʹnful,,,,a.,35.0,195,sinful,s I n f @ l,sɪnfəl
8287,1,sĭng,,,,v.,36.0,195,sing,s I N,sɪŋ
8288,1,sĭnge,,,,v.,37.0,195,singe,s I n dZ,sɪn?
8289,2,sĭʹngle,,,,a.,38.0,195,single,s I N g @ l,sɪŋgəl
8290,3,sĭʹngŭlar,L.,,,a.,40.0,195,singular,s I N g j @ l 3:r,sɪŋgjəlɜ:r
8291,3,sĭʹnĭſt_e_r,L.,,,a.,43.0,195,sinister,s I n i s t 3:r,sɪnistɜ:r
8292,1,sĭnk,,,,n.,44.0,195,sink,s I N k,sɪŋk
8293,2,sĭʹnner,,,,n.,46.0,195,sinner,s I n 3:r,sɪnɜ:r
8294,2,sīʹnus,,,,n.,48.0,195,sinus,s aI n @ s,s?nəs
8295,1,sĭp,,,,v.,49.0,195,sip,s I p,sɪp
8296,2,sīʹphon,,,,n.,50.0,195,siphon,s aI f @ n,s?fən
8297,1,sĭr,,,,n.,52.0,195,sir,s 3:r,sɜ:r
8298,1,sīre,,,,n.,53.0,195,sire,s aI 3:r,s?ɜ:r
8299,2,sīʹrens,G.,,,n.,54.0,195,sirens,s aI r\ @ n z,s?ɹənz
8300,2,sĭʹſt_e_r,L.,,,n.,58.0,195,sister,s I s t 3:r,sɪstɜ:r
8301,3,sĭʹſtĕrhood,,,,n.,59.0,195,sisterhood,s I s t 3:r h U d,sɪstɜ:rhʊd
8302,1,sĭt,,,,v.,61.0,195,sit,s I t,sɪt
8303,1,sīte,,,,n.,62.0,195,site,s aI t,s?t
8304,1,sīthe,,,,n.,63.0,195,sithe,s aI D,s?ð
8305,3,sĭtūāte,,nbSyll>1 et pas d'accent tonic,,a.,64.0,195,situate,s I tS u eI t,sɪ?u?t
8306,5,sĭtūāʹtion,,,,n.,65.0,195,situation,s I tS u eI S @ n,sɪ?u?ʃən
8307,1,sĭx,,,.,n.,66.0,195,six,s I k s,sɪks
8308,2,sĭxteeʹn,,,,n.,67.0,195,sixteen,s i k s t i: n,sikstiːn
8309,2,sĭʹxfold,,,,n.,68.0,195,sixfold,s I k s f @U l d,sɪksfoʊld
8310,2,sĭʹxty,,,,n.,69.0,195,sixty,s I k s t i:,sɪkstiː
8311,3,sīʹzable,,,,a.,70.0,195,sizable,s aI z @ b @ l,s?zəbəl
8312,2,sīʹz_e_r,,,,n.,71.0,195,sizer,s aI z 3:r,s?zɜ:r
